content,link,heading
"
                        (රංජන් කස්තුරි)

මාතලේ ප්‍රදේශීය ලේකම් කොට්ඨාශය තුළ තිබෙන සියලුම සුරාසැල් හෙට (05) වසා තැබෙන බව මුදල් හා ජනමාධ්‍ය අමාත්‍යාංශය සඳහන් කරයි.

මාතලේ ඓතිහාසික අලුවිහාරයේදී පැවැත්වෙන ත්‍රිපිටකය ජාතික උරුමයක් ලෙස නම් කිරීමේ නිල උත්සවයට නිමිත්තෙන් එම පියවර ගන්නා බවද එම අමාත්‍යාංශය පවසයි. 
                    ",http://www.lankadeepa.lk/latest_news/මාතලේ-සුරාසැල්-හෙට-වහයි/1-543338,මාතලේ සුරාසැල් හෙට වහයි
"
                        (මනෝප‍්‍රිය ගුණසේකර)
 
රථවාහන වරදක් සම්බන්ධයෙන් නීතී මඟින් කටයුතු නොකර සිටීම සඳහා රුපියල් 3,000/-ක අල්ලසක් ඉල්ලා ලබා ගැනීමේ චෝදනාවන්ට වරදකරු වු ගිරාදුරුකෝට්ටේ පොලිසියේ රථවාහන අංශයට අනුයුක්තව රාජකාරි කළ පොලිස් කොස්තාපල්වරයකුට කොළඹ මහාධිකරණ විනිසුරු ගිහාන් කුලතුංග මහතා වසර 16 ක බරපතල වැඩ සහිත සිරදඬුවමක් අද (3) නියම කළේය.


වසර 16 ක බරපතල වැඩ සහිත සිරදඬුවම වසර 08ක කාලයකින් ගෙවී යන අන්දමට ක‍්‍රියාත්මක කිරීමට බන්ධනාගාර අධිකාරීවරයාට නියම කළ විනිසුරුවරයා විත්තිකරුට නියම කළ සිරදඬුවමට අමතරව රුපියල් 20,000/-ක දඩයක්ද නියම කළේය.


සමාජය අල්ලසින් බේරා ගැනීම සඳහා අනෙකුත් රාජ්‍ය සේවකයින්ද අල්ලසින් ඈත් කර තැබීමට හැකි වන ආකාරයේ දඬුවමක් විත්තිකරුට නියම කරන්නැයි අල්ලස් කොමිසමේ සහකාර අධ්‍යක්‍ෂ නීතීඥ මනෝජී හේවාවසම් මහත්මිය කළ ඉල්ලීමක් පිළිගත් විනිසුරුවයා විත්තිකරුට අදාළ දඩුවම් නියම කළේය.


විත්තිකරුට එරෙහි චෝදනා පැමිණිල්ල විසින් සාධාරණ සැකයකින් තොරව ඔප්පු කර ඇතැයි තීරණය මෙලෙස දඬුවම් නියම කරන ලද්දේ ගිරාදුරුකෝට්ටේ පොලිසියේ රථවාහන අංශයට අනුයුක්තව රාජකාරි කළ පොලිස් කොස්තාපල් සංජීව සරත් නන්දසිරි නමැත්තාටය.


2014 මැයි මස 22 වැනිදාත් 2014 මැයි මස 24 වැනිදාත්  අතර කාලයේ ගිරාදුරුකෝට්ටේදී රථවාහන වරදක් කළ පුද්ගලයකුට විරුද්ධව ඒ සම්බන්ධයෙන් නීතී මඟින් කටයුතු නොකර සිටීම සඳහා ඔහුගෙන් රුපියල් 3,000/-ක අල්ලසක් ඉල්ලා ලබා ගැනීමේ චෝදනා මත අල්ලස් කොමසම විත්තිකරුට එරෙහිව නඩු පවරා තිබිණි.


පැමිණිල්ල වෙනුවෙන් අල්ලස් කොමිසමේ සහකාර අධ්‍යක්‍ෂ නීතීඥ මනෝජී හේවාවසම් මහත්මිය පෙනී සිටියාය.
  
                    ",http://www.lankadeepa.lk/latest_news/අල්ලස්-ගත්-ගිරාදුරුකෝට්ටේ-කොස්තාපල්ට-සිරදඬුවම්/1-543260,අල්ලස් ගත් ගිරාදුරුකෝට්ටේ කොස්තාපල්ට සිරදඬුවම්
"
                        (සිතුම් චතුරංග)

කිලිනොච්චිය සහ මුලතිව් දිස්ත‍්‍රික්කයේ ජලගැලීම් හේතුවෙන් ආපදාවට ලක්වූ ජනතාවට සහන සැලසීම පිළිබඳ සොයාබැලීම සඳහා කතානායක කරු ජයසූරිය මහතා අද (03) කිලිනොච්චියේ සංචාරයක නිරතවිය.

කතානායක කරු ජයසූරිය මහතාගේ ප‍්‍රධානත්වයෙන් කිලිනොච්චිය දිස්ත‍්‍රික් ලේකම් කාර්යාලයේදී හා මුලතිව් දිස්ත‍්‍රික් ලේකම් කාර්යාලයේදී විශේෂ සාකච්ඡාවක් පැවැති අතර එහිදී ආපදාවට ලක්වූවන් වෙනුවෙන් සහන සැළසීම සහ වන්දි මුදල් පිරිණැමීම පිළිබඳව සාකච්ඡා කෙරිණි.

වන්දිමුදල් ලබාදීමේ ප‍්‍රථම අධියර ලෙස කිලිනොච්චි දිස්ත‍්‍රික්කයේ ජලගැලීම් හේතුවෙන් විපතටපත් පවුල් 90 වෙනුවෙන් රුපියල් දසදහස බැගින් චෙක්පත් ප‍්‍රධානය කිරීමද කතානායකවරයාගේ ප‍්‍රධානත්වයෙන් සිදුකළේය.

ජලගැලීම් හේතුවෙන් විපතටපත් පවුල්වල පාසල් දරුදැරියන් වෙනුවෙන් පාසල් උපකරණද පරිත්‍යාග කෙරිණි.

ජලගැලීම් හේතුවෙන් විපතටපත් සියලූම ජනතාවට වන්දි මුදල් කඩිනමින් ලබාදෙන ලෙස සාකච්ඡාව අමතමින් කතානායකවරයා පවසා සිටියේය. ත‍්‍රිවිද හමුදාව සහ පොලිසිය ඇතුළු රාජ්‍ය නිලධාරීන් ජලගැලීමේන් විපතටපත්වූවන් බේරාගැනීමට සිදුකළ මෙහෙය හා ඔවුන්ට සහන සැළසීම පිළිබඳව ස්තූතිය පලකළේය.

කම්කරු වෘත්තීය සමිති සබඳතා හා සමාජ සවිබලගැන්වීමේ අමාත්‍යංශය ආබාධිත පුද්ගලයින් වෙත ලබාදීම සඳහා උපකරණද තොගයක් දිස්ත්‍රික් ලේකම් කාර්යාලට ලබා දීමද සිදුවිය.

මෙම අවස්ථාව සඳහා කම්කරු වෘත්තීය සමිති සබඳතා හා සමාජ සවිබලගැන්වීමේ අමාත්‍ය දයා ගමගේ , නියෝජ්‍ය ඇමතිනී විජයකළා මහේෂ්වරන් , දෙමළ ජාතික සන්ධාන පාර්ලිමේන්තු මන්ත‍්‍රීවරුන්වන එම්.ඒ.සුමන්තිරන්, මාවෙයි සේනාධිරාජා, එස්.ශ‍්‍රීදරන් හා මුලතිව් දිස්ත‍්‍රික් ලේකම් රූපාවති කේදීශ්වරන් , කිලිනොච්චිය දිස්ත‍්‍රික් ලේකම් සුන්දරම් අරුමෙයිනායගම් මහතා ඇතුළු යුද හමුදා නිලධාරීන් පිරිසක් මෙම අවස්ථාවට එක්ව සිටියහ.









 

 

 

  
                    ",http://www.lankadeepa.lk/latest_news/කතානායක-කිලිනොච්චියේ-සංචාරයක/1-543266,කතානායක කිලිනොච්චියේ සංචාරයක
"
                        
(රංජිත් රාජපක්ෂ)             
           

දින 28ක් වයසැති සිඟිති දියණියක් පණ පිටින් ගෙවත්තේ වළ දැමුවේ යැයි කියන සිද්ධියක් සම්බන්ධයෙන් ඇයගේ   මව සැක පිට අද (03) අත්අඩංගුවට ගත් බව හැටන් පොලීසිය පවසයි.
 
සැකකාර මව හැටන් පොලිස් වසමට අයත් යුනිෆිල්ඩ් වතුයායේ පදිංචි 28 හැවිරිදි වියේ පසුවන්නීය.
 
ඇය ඊයේ (02) දියණිය  නිදි කරවා පසුව ගෙවත්තේ  කසල බැහැර කිරීමට කපා  තිබූ වළකට දමා  පස් වලින් වළ වසා දමා  ඇතැයි පොලීසය පවසයි.
 
සිඟිති දියණිය  නොමැති බව දැක  සැකකාරියගේ මව සහ ඥාතීන් සොයා බලන අවස්ථාවේ තමා දියණිය  ගෙවත්තේ වළ දැමු බව පවසා ඇතැයි පොලීසය පවසයි.
 
අනතුරුව ඥාතීන් එක්ව බිළිදිය ගොඩ ගෙන ඇති අතර  ඇයට මව් කිරි දෙමින් සිටියදී ඇය මිය ගොස්  ඇතැයි පොලීසය සඳහන් කරයි. 
 
තම සැමියා සමඟ පවතින ආරවුලක් හේතුවෙන් දියණියව මෙසේ වැළලූ බව සැකකාරිය පොලිසියට පවසා තිබේ. 
 
ඝාතනයට අනුබල දීම සහ සිද්ධිය වසන් කිරීම  සම්බන්ධයෙන් සැකකාර කාන්තාවගේ මව ද හැටන් පොලිසිය අත්අඩංගුවට ගෙන ඇත.
 
සැකපිට අත්අඩංගුවට ගත් කාන්තාවන් දෙදෙනා හැටන් මහෙස්‍ත්‍රාත් අධිකරණයට ඉදිරිපත් කිරීමට නියමිතය.
  
                    ",http://www.lankadeepa.lk/latest_news/සිඟිති-දියණිය-පණ-පිටින්-වැළලූ-මව-අත්අඩංගුවට/1-543257,සිඟිති දියණිය පණ පිටින් වැළලූ මව අත්අඩංගුවට
"
                        (අජන්ත කුමාර අගලකඩ)

ශ්‍රී ලංකා නිදහස් පක්ෂයේ මහ ලේකම් මහාචාර්ය රෝහණ ලක්ෂ්මන් පියදාස මහතා සිය ධූරයෙන් අද (03) රාත්‍රියේ ඉල්ලා අස්විය.

ඒ වෙනුවට වැඩබලන මහ ලේකම්වරයා ලෙස පාර්ලිමේන්තු මන්ත්‍රී දයාසිරි ජයසේකර මහතා ශ්‍රී ලංකා නිදහස් පක්ෂ මධ්‍යම කාරක සභාව විසින් පත් කරගනු ලැබීය.

ජනාධිපති මෛත්‍රීපාල සිරිසේන මහතාගේ ප්‍රධානත්වයෙන් ජනාධිපති නිල නිවසේ අද රාත්‍රියේ පැවැති පක්ෂ මධ්‍යම කාරක සභා රැස්වීමේදී දයාසිරි ජයසේකර මහතා පක්ෂයේ වැඩබලන මහ ලේකම් ධූරයට පත් කරගනු ලැබීය. 
                    ",http://www.lankadeepa.lk/latest_news/රෝහණ-ලක්ෂ්මන්-ඉල්ලා-අස්වෙයි----ශ්‍රීලනිපයේ-නව-ලේකම්-දයාසිරි/1-543276,රෝහණ ලක්ෂ්මන් ඉල්ලා අස්වෙයි -  ශ්‍රීලනිපයේ නව ලේකම් දයාසිරි
"
                        (වයි.ඒ.එස්.වීරවංශ)
 
හෝර්ටන් තැන්න ජාතික වනෝද්‍යානය තුළ ඩ්‍රෝන කැමරාවක් උපයෝගී කර ගනිමින් ඡායාරූප ගත් වෛදවරයෙකු හා තවත් පුද්ගලයෙකු  අත්අඩංගුවට ගෙන අධිකරණයට ඉදිරිපත් කිරීමෙන් අනතුරුව  රුපියල්  1500 ක දඩයක් සහ රුපියල් 2000 ක රජයේ ගාස්තු  ගෙවන ලෙස නුවරඑළිය මහේස්ත‍්‍රාත් ප‍්‍රමෝද් ජයසේකර මහතා නියෝග  කළේය.
 
දෙවනි විත්තිකරුට රුපියල් හතලිස් දහසක දඩ මුදලක් ගෙවන ලෙසට ද  නියෝග  කළේය. 
 
වනෝද්‍යාන භාර නිලධාරීන් විසින්  මොවුන් අත්අඩංගුවට ගෙන  අද (03) අධිකරණයට ඉදිරිපත් කර තිබිණි.
 
වන සතුන්ට හිංසා වන අයුරින් කටයුතු කිරීම හා වනෝද්‍යාන නිලධාරීන්ගේ රාජකාරියට බාධා කිරීම යන කරුණු මත මොවුන් අත්අඩංගුට ගෙන තිබිණි.
   
ඔවුන් සතුව තිබු  තිබුණු ඩ්‍රෝන කැමරාව, ජංගම දුරකථනය සහ අදාළ සිම්පත රාජසන්තක කරන ලෙස මහේස්ත‍්‍රාත්වරයා වැඩිදුරටත් නියෝග කළේය.
 
හෝර්ටන්තැන්න වනෝද්‍යාන භාරකරු පී. කේ. පී. එම්. ප‍්‍රදීප් කුමාර, සහකාර උද්‍යාන භාරකාර පී. පී. දයාරත්න, ජ්‍යෙෂ්ඨ වන සත්ත්ව සහකාර පනාලගේ, සහකාර අඩවි ආරක්ෂක ඉන්දික ආරියදාස, සුපුන් පේ‍්‍රමරත්න යන මහත්වරුන්  මොවුන්  අත්අඩංගුවට ගෙන අධිකරණයට ඉදිරිපත් කර තිබිණී.
                                               
                    ",http://www.lankadeepa.lk/latest_news/හෝර්ටන්තැන්න-ඩ්‍රෝන-කැමරාවකින්-වීඩියෝ-කළැයි-වෛද්‍යවරයෙක්ට-දඩ/1-543256,හෝර්ටන්තැන්න ඩ්‍රෝන කැමරාවකින් වීඩියෝ කළැයි වෛද්‍යවරයෙක්ට දඩ
"
                        (නිමන්ති රණසිංහ)
 
රුපියල් කෝටි 277කට අධික වටිනාකමකින් යුත් හෙරොයින් කිලෝග‍්‍රෑම් 231ක් ඡාවාරම් කළැයි කියන සිද්ධියේ ප‍්‍රධාන සැකකරු ඇතුළු සැකකරුවන් තිදෙනා ලබන 11 වැනි දා තෙක් තවදුරටත් රක්ෂිත බන්ධනාගාර ගත කරන ලෙස කොළඹ ප‍්‍රධාන මහේස්ත‍්‍රාත් ලංකා ජයරත්න මෙනෙවිය අද (3) නියෝග කළාය.

මෙම එක් එක් සැකකරුවන් පිළිබඳව වූ චෝදනා සම්බන්ධයෙන් වෙන් වෙන්ම වාර්තාවක් එදිනට අධිකරණය වෙත ඉදිරිපත් කරන ලෙසට ද මහේස්ත‍්‍රාත්වරිය මත්ද්‍රව්‍ය නාශක කාර්යාංශය වෙත නියෝග කළාය.

ඒ අනුව මෙලෙස රක්ෂිත බන්ධනාගාර ගත කරනු ලැබුවේ බේරුවල පදිංචි දිනයාදුර දුලිප් ලසන්ත ද සිල්වා (41) එම්. රික්සි මොහොමඩ් සහ දිනයාදුර දිලිප් සුසන්ත නැමැත්තන්ය.

මෙම සැකකරු 1984 අංක 13 අබිං සහ අන්තරාදායක ඖෂධ වර්ගයක් වූ හෙරොයින් කිලෝග‍්‍රෑම් 231කයි ග‍්‍රෑම් 54ක් ඡාවාරම් කර සන්තකයේ තබාගත්තැයි කියමින් මත්ද්‍රව්‍ය නාශක කාර්යාංශය සැකකරුවන්ට එරෙහිව චෝදනා නගා ඇත. 
                    ",http://www.lankadeepa.lk/latest_news/කෝටි-277-ක-හොරොයින්-ජාවාරම්-කළ-තිදෙනා-යළි-රිමාන්ඩ්/1-543259,කෝටි 277 ක හොරොයින් ජාවාරම් කළ තිදෙනා යළි රිමාන්ඩ්
"
                        (නිමල කොඩිතුවක්කු)               

මහනුවර නගරයේ  ප්‍රධාන පාරිසරික ගැටලුවක් බවට පත්ව ඇති කටුගස්තොට, ගොහාගොඩ කසළ කන්ද පිළිබඳ ගැටලුවට කඩිනම් විසඳුම් ලබා දෙන ලෙස ජනාධිපති මෛත්‍රීපාල සිරිසේන මහතා අදාළ අංශ වෙත උපදෙස් ලබා දී ඇත.                

මීතොටමුල්ල  වැනි තවත් ඛේදවාචකයකට ඉඩ නොතබා එම ගැටලුව විසඳීම සඳහා කඩිනම් පියවර ගන්නා ලෙස ජනාධිපතිවරයා උපදෙස් දී තිබේ.  
                     
ජනාධිපතිවරයා මෙම උපදෙස් ලබා දී ඇත්තේ ගොහාගොඩ කසළ කළමනාකරණ මධ්‍යස්ථානයේ කටයුතු විධිමත් කිරීම පිළිබඳ ජනාධිපති කාර්යාලයේ අද(03) පැවති සාකච්ඡාවකදීය.   
                                          
මහනුවර මහ නගර සභාව ඇතුළු පළාත් පාලන ආයතන කිහිපයක කසළ බැහැර කිරීම සඳහා යොදා ගනු ලබන කටුගස්තොට ගොහාගොඩ කසළ කන්ද පිළිබඳව ප්‍රදේශවාසීන්  කළ පැමිණිලි සම්බන්ධයෙන් අවධානය යොමු කරමින් ජනාධිපතිවරයා මෙම සකච්ඡාව කැඳවා තිබුණි.    
                                                   
ජනතාව පීඩාවට පත්වීමට ඉඩ නොතබා විධිමත් කසළ ප්‍රතිචක්‍රීය ක්‍රමවේදයක් ඔස්සේ කසළ බැහැර කිරීමට කටයුතු කරන ලෙසත්, නගර සභාව සහ පළාත් සභාව එක්ව  ඒ සඳහා නිසි වැඩපිළිවෙළක් ක්‍රියාවට නංවන ලෙසත්  උපදෙස් දුන් ජනාධිපතිවරයා  ඒ සඳහා අවශ්‍ය සහය ලබාදෙන ලෙස මධ්‍යම පරිසර අධිකාරිය වෙත උපදෙස් දුන්නේය.



(ඡායාරූප - ජනාධිපති මාධ්‍ය අංශය) 
                    ",http://www.lankadeepa.lk/latest_news/ගොහාගොඩ-කසළ-ගැටළුව-කඩිනමින්-විසඳන්න’යි-ජනපති-නියෝග/1-543264,ගොහාගොඩ කසළ ගැටළුව කඩිනමින් විසඳන්න’යි ජනපති නියෝග
"
                        (කුෂාන් ජයවර්ධන)

හක්කපටස් ආහාරයට ගැනීමෙන් රෝගීව සිටින වනඅලියෙකු කැටුව පැමිණි තවත් වන අලියෙකු විහාරස්ථානයක බෝධීන් වහන්සේ වටා පැදකුණු කර ගාන්ඨාරය ද තෙවරක් නාද කර විහාරය භූමියේ පිහිටි දේවාලය දෙස නිසොල්මන්ව බලා සිට යළි කැලයට පිටත්ව ගිය දුර්ලභ සිද්ධියක් කැකිරාව ප‍්‍රදේශයෙන් වාර්තා වේ.

කැකිරාව ඇලගමුව බරාවිල සුදර්ශනාරාම රජ මහ විහාරස්ථානයේදී එම සිද්ධිය සිදුව තිබේ. එම සිද්ධිය විස්තර කළ කැකිරාව බරාවිල සුදර්ශනාරාම රාජ මහාවිහාරාධිකාරී පූජ්‍ය තම්මැන්නාගම බුද්ධරක්ඛිත හිමියෝ මෙසේ පැවැසූහ.

 ‘‘පන්සලේ බෝධිය පැත්තෙන් සද්දයක් ඇහුනා. මම විදුලි පන්දමත් අරගෙන එළියට බැහැලා බැලුවා කවුද මේ රෑ පන්සලේ වත්තේ සැරිසරන්නේ කියලා මම ඒ වෙලාවේ දැක දේ පුදුම සහගතයි.

පන්සල් වත්තට අලි දෙන්නෙක් ඇවිත් හිටියා එක අලියෙක් ටිකක් පොඩි එක්කෙනෙක්. අනික් එක්කෙනා නම් ටිකක් ලොකු කෙනෙක්. මේ දෙන්නා පන්සලේ බෝ මළුව පැතේ ඉදලා පඩි පෙළ බැහැගෙන පන්සල් වත්තේ තියෙන දේවාලය පැත්තට යනවා.

පස්සේ දේවාලය ඉදිරිපිට තියෙන ගණ්ඨාර කුළුන ළගට ගියා. පස්සේ ලොකු අලියා ගණ්ඨාරයේ ලණුව අල්ලගෙන තුන්පාරක් ගණ්ඨාරය ගැහැව්වා. ඊට පස්සේ ගණ්ඨාරයේ ලණුව කඩලා කුළුණ මුල බිම දාලා එතැනම තියෙන දේවාලය ඉදිරිපිටට වී නිසොල්මංව ටික වේලාවක් දේවාලය දෙස බලා ගෙන හිටියා.

මේ දේවාලය බොහොම හාස්කම් තියෙන දේවාලයක්. ඊට පස්සේ ඒ දෙන්නා පන්සල් වත්තේ කැලේ පැත්තට යන්න ගියා. ඒ වෙලාවේ මම උගුර පාදලා මොකද මේ රෑ ඇවිද ඇවිද කරන්නේ කරන්නේ කියලා අලින්ට කරුණාවෙන් කතා කළා.

ඊට පස්සේ ඒ දෙන්න කැලේ ඇතුලටම යන්න ගියා. පස්සේ මම බෝමළුව දෙසට ඇවිත් බැලුවම දැක්කා ඒ අලි දෙන්න බෝ මළුවට මුලින්ම ඇවිත් තියෙන බව. ඒ අලි දෙන්නා බෝමළුව වටේ ඇවිදලා තිබුණා. හැබැයි බෝධින් වහන්සේටවත් ඒ අසළ වෙන යමකට හෝ කිසිම හානියක් කරලා තිබුනේ නැහැ.

මේ ආව අලි දෙන්නගෙන් පොඩි අලියා හක්කපටස් කාලා තුවාල වෙලා ඉන්න අලියෙක් බව දැනුණා. ඒ සතා ට ඇවිද ගැනීමේ අපහසුතාවකුත් තියෙනවා. ඒ ගැන ගමේ අයත් කළින් දා මට මේ අලි දෙන්නා ගැන කියලා තිබුණා.

රෝගාතුව ඉන්න පොඩි අලියගේ ආරක්ෂාවට වගේම එයාගේ උදව්වට ලොකු එක්කෙනා නිතරම එයා ළ`ග ඉන්නවා. මේ අලි දෙන්නා දැන් දවස් ගණනක් පන්සල් වත්ත පිහිටි ගල් කන්දේ සැරිසරනවා.

තිරිසන් ආත්මයක් ලබා සිටියත් බුදු දහමත් එක්ක සම්බන්ධකම් පවත්වන තමන්ට පාපතර මිනිසකු නිසා අත්ව ඇති ඉරණම හා තමන්ට ඇති වී තිබෙන වේදනාව ගැන දෙවියන්ට කියන්න මේ අලි පන්සලටත් එන්න ඇති කියලා හිතෙනවා.

මේ සිද්ධිය දැකලා මට පුදුම හිතුණා මම ඒ වෙලාවෙම ගල්කිරියාගම වනජීවි කාර්යායේ නිලධාරීන්ට මේ රෝගාතුරව ඉන්න වනඅලියා ගැන විස්තර කිව්වා.

පූජ්‍ය තම්මැන්නාගම බුද්ධරක්ඛිත හිමියන්ගේ දැනුම් දීම මත ගල්කිරියාගම වනජීවි කාර්යාලයේ නිලධාරීන් අද (3) වල් අලින් දෙදෙනා සොයා මෙහෙයුම් ඇරඹීය.එම ගම්වාසීහු ද එම මෙහෙයුමට සහය වූහ.

විහාරස්ථානයට ආසන්නයේ ඇති අඩි 300ක් පමණ උස්වූ ගල් කන්දක් මුදුනේ රැඳී සිටි වනඅලින් දෙදෙනා වනජීවී නිලධාරීන්ට හමුව තිබේ.

රෝගී අලියා සමීපයට ගොස් නිරීක්ෂණය කිරීමට යාමේදී අනෙක් වන අලියාගෙන් බාධා එල්ල කළ බව නිලධාරීහු පවසති.

හක්කපටස් ආහාරයට ගැනීමෙන් අනතුරට ලක්ව රෝගාතුරව තවත් අලියෙකුගෙන් රැකවරණය ලබමින් සිටින වනඅලියාට අවශ්‍ය පශු වෛද්‍ය ප‍්‍රතිකාර කටයුතු කඩිනමින් ඇරඹීමට කටයුතු යොදා ඇති බව ගල්කිරියාගම වනසත්ව අඩවි කාර්යාලයේ නිලධාරීහු පැවැසූහ.











 

  
                    ",http://www.lankadeepa.lk/latest_news/පන්සලේ-ඝණ්ඨාරය-හැඬ-වූ-අලියා-හක්ක-පටස්-කෑ-වන-අලියාගේ-දුක-කියයි/1-543277,පන්සලේ ඝණ්ඨාරය හැඬ වූ අලියා හක්ක පටස් කෑ වන අලියාගේ දුක කියයි
"
                        (අංජුල මහික වීරරත්න)

ශ්‍රී ලංකාව පාලනය කිරීම සඳහා සෑම ක්ෂේත්‍රයකම ප්‍රවීණයන්ගෙන් යුත් සෙනට් සභාවක් පිහිටවිය යුතු බව අග්‍රාමාත්‍ය රනිල් වික්‍රමසිංහ මහතා හමුවේ පැවැසීයැයි අග්ගමහා පණ්ඩිත කොටුගොඩ ධම්මාවාස ශ්‍රී ලංකා අමරපුර මහා සංඝ සභාවේ උත්තරීතර මහා නාහිමියෝ පැවැසූහ.

රට පාලනය කරන පිරිස බුද්ධිමත් දුරදිග පෙනෙන පිරිසක් විය යුතු බව කී මහ නාහිමියෝ අග්‍රාමාත්‍යවරයා සතු ඉවසිලිවන්ත බවට තමන් වහන්සේ සුවිශේෂී ප්‍රසංශාවක් පළ කළ බවද කීහ.

ගල්කිස්ස ධර්මපාලාරාමයට අද (03) පැමිණි අග්‍රාමාත්‍ය රනිල් වික්‍රමසිංහ මහතා කොටුගොඩ ධම්මාවාස මහා නාහිමියන් බැහැදැක පැයකට ආසන්න කාලයක් කතාබහක නිරත විය.

මහා නාහිමියන් බැහැදැක පිටව යාමේදී මාධ්‍යයට ප්‍රකාශයක් කරමින් අග්‍රාමාත්‍ය රනිල් වික්‍රමසිංහ මහතා පැවැසුවේ රටේ සාමය රැකීම සහ සංවර්ධන වැඩ කටයුතු පිළිබඳව මහා නාහිමියෝ උපදෙස් ලබා දුන් බවයි.

ඡායාරූප - ළහිරු හර්ෂණ









 

 

  
                    ",http://www.lankadeepa.lk/latest_news/‘‘ප්‍රවීණයන්ගෙන්-යුත්-සෙනට්-සභාවක්-පිහිටවිය-යුතුයි‘‘/1-543278,‘‘ප්‍රවීණයන්ගෙන් යුත් සෙනට් සභාවක් පිහිටවිය යුතුයි‘‘
